PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,PatternMatch,puzzle_ref
9JRZH,8/8/1p2kRp1/2p1P2p/1r3P2/1P3P2/4K3/8 b - - 4 50,e6d5 f6d6,733,96,99,635,endgame master mate mateIn1 oneMove rookEndgame,https://lichess.org/P0U2cpBR/black#100,,True,https://lichess.org/training/9JRZH
yl7GN,8/5r1p/p3p1p1/P2p1k2/1PpP1P2/2P1R1KP/8/8 b - - 4 62,f7f6 e3e5,733,85,89,157,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/KmpexGoT/black#124,,True,https://lichess.org/training/yl7GN
jb5gA,8/6r1/6pR/1pkBb3/p3Pp2/P1PK1P2/8/8 b - - 0 42,g6g5 h6c6,734,114,100,14,endgame master mate mateIn1 oneMove,https://lichess.org/SYYMxRNI/black#84,,True,https://lichess.org/training/jb5gA
VZtKD,r4r2/ppp2kR1/3p1p2/5N2/2n1Pb1P/8/P5P1/R5K1 b - - 2 25,f7e6 g7e7,734,105,94,670,hookMate mate mateIn1 middlegame oneMove,https://lichess.org/ERt9BE3Q/black#50,,True,https://lichess.org/training/VZtKD
UpGsw,4R3/8/p2r2n1/1p3pk1/4p3/P1P5/1P1KNP2/8 w - - 8 43,d2e3 d6d3,734,86,78,148,endgame master masterVsMaster mate mateIn1 oneMove,https://lichess.org/4Hchxeln#85,,True,https://lichess.org/training/UpGsw
obsj2,8/p1p2p2/2k5/2pp4/3PpP2/BPN1Pb2/P1r5/4KR2 w - - 0 29,c3d1 c2e2,734,116,86,26,endgame mate mateIn1 oneMove operaMate,https://lichess.org/cTJVjJY0#57,,True,https://lichess.org/training/obsj2
6cNVm,8/5pp1/2k1p3/1p1pP1P1/nP1P1P2/PKp5/4B2r/R7 w - - 4 54,e2d3 h2b2,734,79,81,58,endgame hookMate mate mateIn1 oneMove,https://lichess.org/etdDwvrv#107,,True,https://lichess.org/training/6cNVm
0TlHr,r1qnkB1r/pp2pp1p/3p1np1/3P4/2P5/2N2NP1/PP2QPbP/R3R1K1 b kq - 0 14,g2f3 e2e7,734,113,95,448,mate mateIn1 middlegame oneMove,https://lichess.org/62lb5GkQ/black#28,English_Opening English_Opening_Symmetrical_Variation,True,https://lichess.org/training/0TlHr
B3Ngk,r1b1k2r/ppppqppp/8/4n3/1PPn1B2/P3P3/3N1PPP/R2QKB1R w KQkq - 0 11,e3d4 e5d3,734,88,76,212,discoveredCheck doubleCheck mate mateIn1 oneMove opening,https://lichess.org/Rb5gQXee#21,Indian_Defense Indian_Defense_Budapest_Defense,True,https://lichess.org/training/B3Ngk
Nmfg0,1r6/6k1/R5p1/8/1p2PKPP/3n1P2/P7/8 w - - 1 40,f4g5 b8b5 e4e5 b5e5,734,80,82,141,endgame mate mateIn2 short,https://lichess.org/dJKmJv6m#79,,True,https://lichess.org/training/Nmfg0
QxxuE,r1bnkb1r/pp3ppp/3pp3/3Q4/8/2P2N2/P3BPPP/R1B1R1K1 b kq - 0 12,e6d5 e2b5,734,87,76,258,discoveredCheck doubleCheck mate mateIn1 middlegame oneMove pillsburysMate,https://lichess.org/zoaz6NI4/black#24,Sicilian_Defense Sicilian_Defense_Delayed_Alapin_Variation,True,https://lichess.org/training/QxxuE
Lko0l,7k/p2q2p1/7p/8/5QPB/2P2p2/PP3Pb1/R2r2K1 w - - 1 36,a1d1 d7d1 g1h2 d1h1 h2g3 h1h3,734,83,81,306,endgame long mate mateIn3,https://lichess.org/8Ty82VXA#71,,True,https://lichess.org/training/Lko0l
RGano,r6B/2pk1p2/p1pp4/6q1/1P2Pp2/P2P1b1p/2PN3P/1R2QRK1 w - - 1 25,g1f2 g5g2,734,98,92,605,mate mateIn1 middlegame oneMove,https://lichess.org/akUlxgzN#49,,True,https://lichess.org/training/RGano
5Jnhd,1r6/8/p3P3/R6n/P2pkP2/1P1b2P1/5K1P/8 b - - 0 36,h5f6 a5e5,734,95,98,613,endgame mate mateIn1 oneMove,https://lichess.org/0JIuA4CK/black#72,,True,https://lichess.org/training/5Jnhd
