PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rook_Queen,puzzle_ref
VlQ8U,5rk1/3n1r2/1p1p3p/pR2P2q/P1P3p1/2QNp3/4B1bP/R3B1K1 w - - 0 26,e5e6 f7f1 e2f1 f8f1 g1g2 h5h3,1240,76,100,387,kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/G9dsjNzn#51,,TRUE,https://lichess.org/training/VlQ8U
Vo2G9,5r2/3r3p/1q1pk3/p1p1Rp2/2P1pP2/1PQ1P3/P5RP/6K1 b - - 3 32,d6e5 c3e5 e6f7 g2g7,1579,81,81,66,endgame mate mateIn2 short,https://lichess.org/TbtuDlsX/black#64,,TRUE,https://lichess.org/training/Vo2G9
Vpk0g,1b3r1k/6p1/p6p/2NQ4/1P6/P3prPq/5P1P/3R1RK1 w - - 1 31,f2e3 f3f1 d1f1 f8f1,1024,76,100,313,mate mateIn2 middlegame short,https://lichess.org/XS7GhuYY#61,,TRUE,https://lichess.org/training/Vpk0g
Vqsi7,6k1/pb2p3/6pK/2p4r/6R1/7P/PPQP1q2/R1B5 w - - 14 34,h6g6 f2f7,1792,238,56,57,master masterVsMaster mate mateIn1 middlegame oneMove,https://lichess.org/ulB63KTI#67,,TRUE,https://lichess.org/training/Vqsi7
Vu4QM,2r4k/5p1p/p4p2/1p5Q/3b4/P4NqP/4R1P1/5K2 w - - 4 37,f3d4 c8c1 e2e1 c1e1,995,84,95,278,endgame mate mateIn2 short,https://lichess.org/wwNBxClz#73,,TRUE,https://lichess.org/training/Vu4QM
VupcK,1k6/ppp2p1p/5p2/8/3n4/4qP2/PRPNP3/3QKBr1 w - - 1 24,d2c4 d4f3,1460,75,96,16063,master mate mateIn1 middlegame oneMove pin,https://lichess.org/kvUErXY6#47,,FALSE,https://lichess.org/training/VupcK
VwHxj,r4r2/pb3pk1/3Q2p1/3pp3/8/7R/Pqp3PP/5R1K b - - 1 29,c2c1r d6f6 g7g8 h3h8,1243,76,62,79,mate mateIn2 middlegame short,https://lichess.org/SI9IkGqS/black#58,,TRUE,https://lichess.org/training/VwHxj
VwiCY,1r2rk2/p1q2p1R/4bQ2/3p4/8/1NNnP3/PP3P1P/1K6 b - - 0 23,c7e5 h7h8,1292,78,92,820,master mate mateIn1 middlegame oneMove,https://lichess.org/M3PiNdkC/black#46,,TRUE,https://lichess.org/training/VwiCY
VzEUo,4rnk1/1p3ppp/8/2P5/3N4/P2P2qB/1BQ5/6K1 w - - 1 30,c2g2 e8e1,1313,159,43,31,master mate mateIn1 middlegame oneMove pin,https://lichess.org/ySpRvRwm#59,,TRUE,https://lichess.org/training/VzEUo
VzFKq,r7/6k1/6p1/1P1P1RR1/4p3/K5Q1/2q5/8 w - - 4 43,a3b4 a8a4,1421,75,97,3748,endgame mate mateIn1 oneMove,https://lichess.org/u9FxxWw2#85,,TRUE,https://lichess.org/training/VzFKq
