PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,puzzle_ref,Valid,Quadrant,Mating_Color,Mated_King,Knight_Attack,Knight_Restrict,Bishop_Restrict
2D1zY,r2qkbnr/pp3ppp/3p4/2pBN3/3nP1b1/2N5/PPPP1PPP/R1BQ1RK1 b kq - 0 7,g4d1 d5f7 e8e7 c3d5,1331,79,94,1102,attackingF2F7 mate mateIn2 opening short,https://lichess.org/bV5vbt8d/black#14,Sicilian_Defense Sicilian_Defense_Modern_Variations,https://lichess.org/training/2D1zY,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
bgXIG,r2qkbnr/ppp2pp1/2np3p/4N3/2B1P1b1/P1N5/1PPP1PPP/R1BQK2R b KQkq - 0 6,g4d1 c4f7 e8e7 c3d5,1331,75,85,875,attackingF2F7 mate mateIn2 opening short,https://lichess.org/Q8RfPdW5/black#12,Italian_Game Italian_Game_Anti-Fried_Liver_Defense,https://lichess.org/training/bgXIG,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
xy08K,1r1qkbnr/1pp2ppp/p2p4/3BN3/P2nP1b1/B1N5/2PP1PPP/1R1QK2R b Kk - 0 10,g4d1 d5f7 e8e7 c3d5,1331,80,93,7652,attackingF2F7 mate mateIn2 middlegame pin short,https://lichess.org/iUPqwnCC/black#20,Philidor_Defense Philidor_Defense_Other_variations,https://lichess.org/training/xy08K,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
fVxoN,r2qkbnr/ppp3pp/3p4/4N2b/2BnPp2/2N4P/PPP2PP1/R1BQ1RK1 b kq - 0 9,h5d1 c4f7 e8e7 c3d5,1331,76,96,14751,mate mateIn2 opening short,https://lichess.org/M8Kvr3e0/black#18,Italian_Game Italian_Game_Rousseau_Gambit,https://lichess.org/training/fVxoN,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
x0Mzr,rn1qkbnr/1pp2pp1/p2p3p/4N3/2B1P1b1/1PN5/P1PP1PPP/R1BQK2R b KQkq - 0 6,g4d1 c4f7 e8e7 c3d5,1331,139,0,8,attackingF2F7 mate mateIn2 opening short,https://lichess.org/bXJToJRT/black#12,Philidor_Defense Philidor_Defense_Other_variations,https://lichess.org/training/x0Mzr,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
g5CDL,r2qkbnr/1pp2ppp/p2p4/4N2b/3nPp2/1BN4P/PPPP2P1/R1BQ1RK1 b kq - 4 9,h5d1 b3f7 e8e7 c3d5,1332,77,92,1219,attackingF2F7 mate mateIn2 opening short,https://lichess.org/EIENrLOT/black#18,Kings_Gambit Kings_Gambit_Other_variations,https://lichess.org/training/g5CDL,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
a4ygj,r2qkbnr/1pp4p/p2p4/4N3/PPBnPpb1/2NP4/2P2PP1/R1BQK2R b KQkq - 0 11,g4d1 c4f7 e8e7 c3d5,1333,77,100,2994,mate mateIn2 opening short,https://lichess.org/ijViKG2i/black#22,Italian_Game Italian_Game_Rousseau_Gambit,https://lichess.org/training/a4ygj,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
chS8I,r2qkbnr/ppp3pp/3p4/4Np1b/2BnP3/2N4P/PPPP1PP1/R1BQ1RK1 b kq - 0 8,h5d1 c4f7 e8e7 c3d5,1333,76,96,15413,mate mateIn2 opening short,https://lichess.org/pn06UIuv/black#16,Ruy_Lopez Ruy_Lopez_Steinitz_Defense,https://lichess.org/training/chS8I,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
pa3yL,r2qkb1r/ppp2pp1/3p4/4N2p/1PBnP1b1/2NP4/P1P2P2/R1BQK1R1 b Qkq - 0 11,g4d1 c4f7 e8e7 c3d5,1334,81,92,1626,attackingF2F7 mate mateIn2 middlegame short,https://lichess.org/VpP6j8nV/black#22,Philidor_Defense Philidor_Defense_Other_variations,https://lichess.org/training/pa3yL,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
yGOBF,rn1qkbnr/ppp3pp/3p4/4Np1b/2B1P3/2N4P/PPPP1PP1/R1BQK2R b KQkq - 0 6,h5d1 c4f7 e8e7 c3d5,1334,75,95,29677,mate mateIn2 opening short,https://lichess.org/spL3ZD24/black#12,Philidor_Defense Philidor_Defense_Other_variations,https://lichess.org/training/yGOBF,True,bottom-right 1,white,"[4, 6]","[3, 4]","[4, 4]","[5, 6]"
