PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Queen_Bishop,puzzle_ref
mVXQx,r2qr1k1/ppp2p2/3b1n1Q/5bN1/2Bn4/2N4P/PP3PP1/R4RK1 b - - 1 14,d6f4 c4f7,1092,78,91,184,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/tiFnc9fx/black#28,French_Defense French_Defense_Knight_Variation,True,https://lichess.org/training/mVXQx
mbUow,3rr3/2pk3p/2Q3p1/3P4/4n3/4B3/P3qPPP/1R2b1KR b - - 2 24,d7e7 c6e6 e7f8 e3h6,1714,77,94,13778,fork mate mateIn2 middlegame short,https://lichess.org/eMmP8LTu/black#48,,True,https://lichess.org/training/mbUow
mk1kY,k7/8/3Q1n2/3pp3/4P3/2PP2B1/P3KP2/1r4Nq b - - 3 34,h1g1 d6a6 a8b8 g3e5,1768,76,87,159,endgame fork mate mateIn2 short,https://lichess.org/F5NZLW5c/black#68,,True,https://lichess.org/training/mk1kY
mk5gN,5k2/p7/2p2pQ1/3p2p1/P2P3p/1P3NnP/2P1q3/2B3K1 b - - 3 35,e2f3 c1a3 c6c5 a3c5,1815,199,37,12,endgame mate mateIn2 short,https://lichess.org/r4WB8ZtE/black#70,,True,https://lichess.org/training/mk5gN
mpSv5,4k2r/3b1pp1/p6p/1pb1p3/2p1Nq2/2NP1P2/PPPK3P/R2Q3R w k - 4 21,d2e2 f4e3 e2f1 d7h3,1182,238,82,3,mate mateIn2 middlegame short,https://lichess.org/Xg6hsJC6#41,,True,https://lichess.org/training/mpSv5
msO4r,2r4k/1p4p1/5n1Q/1PB5/P3P3/2K2P2/4B1p1/1q6 b - - 4 39,h8g8 e2c4 f6d5 c4d5,820,90,96,546,endgame mate mateIn2 short,https://lichess.org/wOkY6uLd/black#78,,True,https://lichess.org/training/msO4r
mvFKb,r3k2r/pp3p2/3bpQ1p/3p4/3P4/1BP1B3/PP2KPP1/q7 b kq - 0 18,h8f8 b3a4 b7b5 a4b5,1538,76,88,105,mate mateIn2 middlegame short,https://lichess.org/KAYAiA1I/black#36,Caro-Kann_Defense Caro-Kann_Defense_Hillbilly_Attack,True,https://lichess.org/training/mvFKb
n0Oz5,5q2/k7/p2p4/1p1Bp2p/4P3/P2PQ3/KP3r2/8 b - - 5 41,a7b8 e3b6 b8c8 d5e6,1688,77,78,101,endgame mate mateIn2 short,https://lichess.org/u8Fkt7PD/black#82,,True,https://lichess.org/training/n0Oz5
n7Y2J,6k1/pp3p2/2p1p1nQ/6R1/3r1q1P/1B3P2/P1P2P2/6K1 b - - 4 31,f4h4 g5g6 f7g6 b3e6,1876,75,95,11301,deflection endgame mate mateIn2 short,https://lichess.org/kKJYrMno/black#62,,True,https://lichess.org/training/n7Y2J
nE4vE,r5r1/1b4k1/6p1/4Q3/1p2P3/1p6/qPP5/2K2B2 b - - 3 33,g7f8 e5f6 f8e8 f1b5 b7c6 b5c6,1472,74,94,2763,endgame exposedKing long master mate mateIn3,https://lichess.org/C5AijpNQ/black#66,,True,https://lichess.org/training/nE4vE
