PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,PatternMatch,RookMoves,puzzle_ref
RahFp,8/1p2k1rQ/p7/4p3/P4n1R/5R2/1P4rP/5K2 w - - 7 40,h7e4 g2g1 f1f2 g7g2 f2e3 g1e1,1071,81,86,234,endgame exposedKing long mate mateIn3,https://lichess.org/2Ud7P3Ct#79,,True,2,https://lichess.org/training/RahFp
VkKAz,8/3R4/p1p1p1kp/2qpP3/6P1/8/P3n1KP/5R2 b - - 0 31,d5d4 f1f6 g6g5 d7g7 g5h4 f6h6,1071,74,96,6611,deflection endgame long mate mateIn3,https://lichess.org/MHyMPdon/black#62,,True,2,https://lichess.org/training/VkKAz
5Ayi1,6k1/pp3pbp/8/5R2/8/1P6/P1r1rN1P/3R3K b - - 2 33,e2f2 d1d8 g7f8 f5g5 g8h8 d8f8,1071,89,95,1144,deflection endgame long mate mateIn3,https://lichess.org/3ENY4icl/black#66,,True,2,https://lichess.org/training/5Ayi1
gq4kD,5rk1/np3rp1/pN1p4/P1pPp1R1/4P1RP/2P3P1/1P6/6K1 w - - 3 33,b6c4 f7f1 g1h2 f8f2 h2h3 f1h1,1072,130,88,30,endgame exposedKing kingsideAttack long mate mateIn3,https://lichess.org/8UriBM69#65,,True,2,https://lichess.org/training/gq4kD
ABkvz,1rb3k1/7R/2p1p1p1/3Q1rP1/2NP4/P1qBK3/2P2P2/7R b - - 0 31,e6d5 h7h8 g8f7 h1h7 f7e6 h8e8,1072,77,89,399,exposedKing long mate mateIn3 middlegame,https://lichess.org/bFhNixfa/black#62,,True,2,https://lichess.org/training/ABkvz
OqLSr,5rk1/3R3p/R3pppP/8/6PK/3p1r2/8/8 b - - 1 42,f8f7 a6a8 f7f8 d7g7 g8h8 a8f8,1072,90,91,2483,deflection endgame long mate mateIn3 rookEndgame,https://lichess.org/RqDFPA1c/black#84,,True,2,https://lichess.org/training/OqLSr
aLW5n,5r2/pp3rpk/8/3p2BP/6Q1/8/PP4P1/6K1 w - - 1 32,g2g3 f7f1 g1h2 f8f2 h2h3 f1h1,1072,88,67,46,endgame exposedKing long mate mateIn3,https://lichess.org/DnLAH3FW#63,,True,2,https://lichess.org/training/aLW5n
mEJwW,6k1/1p6/p1bRK1pP/2P5/r7/6r1/8/5R2 b - - 1 52,g3g5 d6d8 c6e8 d8e8 g8h7 f1f7 h7h6 e8h8,1072,85,94,1899,endgame exposedKing mate mateIn4 veryLong,https://lichess.org/eM7gWMWQ/black#104,,True,2,https://lichess.org/training/mEJwW
3Yb6Q,6k1/7R/3p1pp1/4n3/4P3/5P2/P3B1K1/q6R b - - 2 32,a1a2 h7h8 g8f7 h1h7 f7e6 h8e8,1073,76,82,161,endgame exposedKing long mate mateIn3,https://lichess.org/241q3sEI/black#64,,True,2,https://lichess.org/training/3Yb6Q
VlOZn,1k3r2/pp6/3p4/5r2/6R1/1P1P2P1/P3R3/6K1 w - - 3 34,e2e4 f5f1 g1h2 f8f2 h2h3 f1h1,1073,86,92,1430,endgame exposedKing long mate mateIn3 rookEndgame,https://lichess.org/lMQcScyQ#67,,True,2,https://lichess.org/training/VlOZn
pCby2,2q3k1/ppp2RR1/3p1P2/8/8/P1P1pr2/1P6/K7 b - - 2 42,g8h8 g7h7 h8g8 f7g7 g8f8 h7h8,1073,79,92,178,endgame exposedKing long mate mateIn3 queenRookEndgame,https://lichess.org/5nE7ARJO/black#84,,True,2,https://lichess.org/training/pCby2
xFN7S,2r5/1b3kp1/6p1/1r1p4/3P3R/5PK1/4R1PP/2B5 b - - 0 41,c8c1 h4f4 f7g8 e2e8 g8h7 f4h4,1073,75,100,229,endgame long mate mateIn3,https://lichess.org/X0N3Cpiw/black#82,,True,2,https://lichess.org/training/xFN7S
bzbD0,7r/p4Rk1/1p4p1/2pp2r1/6b1/3P4/PPP1NR2/4K3 b - - 0 36,g7g8 f7f8 g8h7 f2f7 h7h6 f8h8,1073,86,94,1199,deflection endgame exposedKing long mate mateIn3,https://lichess.org/leG5C2oM/black#72,,True,2,https://lichess.org/training/bzbD0
dFDlL,QQ6/3bk3/4p3/3p3p/2p3r1/6K1/5RP1/3r4 w - - 3 44,g3f3 d1d3 f3e2 g4e4 e2f1 d3d1,1074,99,100,45,endgame exposedKing long mate mateIn3,https://lichess.org/yl6fY0DO#87,,True,2,https://lichess.org/training/dFDlL
G6ddw,2r3k1/p4p2/6bp/3p2P1/3Br1P1/8/PPPR1P2/2K4R w - - 1 24,h1h6 e4e1 d2d1 c8c2 c1b1 e1d1,1074,86,80,265,deflection endgame long mate mateIn3,https://lichess.org/MLYC8VIW#47,,True,2,https://lichess.org/training/G6ddw
eH3Lf,3r4/3r2k1/6Np/R5p1/4p3/2R4P/8/7K w - - 2 41,a5a6 d7d1 h1h2 d8d2 h2g3 d1g1,1074,84,94,189,endgame exposedKing long mate mateIn3,https://lichess.org/M5AFtL9I#81,,True,2,https://lichess.org/training/eH3Lf
5JjPw,5r1k/7p/p7/2p4R/Pp1pP1Q1/3Pq1P1/1PP2r2/4R1K1 w - - 5 35,e1e3 f2f1 g1h2 f8f2 h2h3 f1h1,1074,98,84,45,endgame exposedKing long master mate mateIn3 queenRookEndgame,https://lichess.org/jE5Zj7CG#69,,True,2,https://lichess.org/training/5JjPw
T3ged,6k1/R4p2/p4Pp1/1p5p/1Pp2P1K/r5P1/6r1/3R4 b - - 5 40,g2g3 d1d8 g8h7 a7f7 h7h6 d8h8,1074,108,71,23,deflection endgame long mate mateIn3 rookEndgame,https://lichess.org/DhHiolMw/black#80,,True,2,https://lichess.org/training/T3ged
GVpkX,5r2/1p6/p3Pr1k/2PpB1Rp/P2P3P/4P1P1/8/6K1 w - - 3 41,e6e7 f6f1 g1h2 f8f2 h2h3 f1h1,1075,77,88,260,endgame exposedKing long mate mateIn3,https://lichess.org/qoUAAWUd#81,,True,2,https://lichess.org/training/GVpkX
GZgb7,2k5/pR3p2/2p1p2p/8/3P4/2P3q1/P7/1R5K b - - 1 27,g3c3 b7b8 c8d7 b1b7 d7d6 b8d8,1075,76,100,223,endgame exposedKing long mate mateIn3 queenRookEndgame,https://lichess.org/2Qafyxj3/black#54,,True,2,https://lichess.org/training/GZgb7
8YGbh,1r6/5k2/Rpr5/1R2p2p/2PpP2K/3P1P2/6P1/8 w - - 1 40,h4h5 b8h8 h5g4 c6g6 g4f5 h8h5,1076,80,95,1135,endgame long mate mateIn3 rookEndgame,https://lichess.org/zlVPJwcg#79,,True,2,https://lichess.org/training/8YGbh
N6cb0,r7/6k1/3p2p1/4p3/1p4RP/1P1R1P2/r7/1K6 w - - 0 32,g4b4 a2a1 b1c2 a8a2 c2c3 a1c1,1076,76,96,4374,endgame exposedKing long master mate mateIn3 rookEndgame,https://lichess.org/mblCWuMp#63,,True,2,https://lichess.org/training/N6cb0
rRXtX,3R4/p4ppk/r5r1/4p2K/4P3/5P2/6PP/6R1 w - - 5 36,d8d7 g6h6 h5g4 a6g6 g4f5 h6h5,1076,84,93,1605,endgame long master masterVsMaster mate mateIn3 rookEndgame,https://lichess.org/TfGXPkIu#71,,True,2,https://lichess.org/training/rRXtX
TuCFi,5r2/1pp5/1k1p4/1N1Pp3/4P1Q1/5rP1/PPP5/6K1 w - - 4 35,a2a4 f3f1 g1h2 f8f2 h2h3 f1h1,1076,82,93,4931,endgame exposedKing long mate mateIn3,https://lichess.org/Ml4Y3Wsj#69,,True,2,https://lichess.org/training/TuCFi
1QKok,8/2R2R1p/4rpkP/p3p3/5p2/1n3P2/r5P1/6K1 b - - 4 48,g6h6 f7h7 h6g5 c7g7 g5f5 h7h5,1076,83,95,480,endgame exposedKing long mate mateIn3,https://lichess.org/c1Rb73QC/black#96,,True,2,https://lichess.org/training/1QKok
A4CZ1,7r/p5p1/4R1P1/3p1p1r/2kPPRp1/6P1/8/6K1 w - - 1 49,e4d5 h5h1 g1f2 h8h2 f2e3 h1e1,1077,79,82,122,endgame exposedKing long mate mateIn3 rookEndgame,https://lichess.org/LMldew94#97,,True,2,https://lichess.org/training/A4CZ1
