PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rooks,puzzle_ref
MNiuo,7r/1kp4r/pp4R1/8/PP1P2p1/4P1P1/5P2/2R3K1 w - - 3 33,c1c3 h7h1 g1g2 h8h2,792,86,88,208,endgame mate mateIn2 rookEndgame short,https://lichess.org/ntetLYz1#65,,True,https://lichess.org/training/MNiuo
5mDah,7r/6p1/p2P2kr/P1N2p2/4pPp1/4B1q1/1PRQ3P/6K1 w - - 0 33,h2g3 h6h1 g1g2 h8h2,793,80,81,146,endgame mate mateIn2 short,https://lichess.org/nrBibyCZ#65,,True,https://lichess.org/training/5mDah
Shlro,1k5r/bp3p2/p1Pp3r/8/2P3p1/P3P1P1/3Q1PB1/3RR1Kq w - - 1 27,g2h1 h6h1 g1g2 h8h2,795,81,91,115,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/X0AI09sU#53,,True,https://lichess.org/training/Shlro
HS99L,1R2R3/2pr1p1k/p1pr1Pp1/1p5p/8/6P1/P1P2P1P/6K1 b - - 1 29,d6f6 e8h8 h7g7 b8g8,795,87,63,30,endgame mate mateIn2 rookEndgame short,https://lichess.org/mYkzeq1y/black#58,,True,https://lichess.org/training/HS99L
kjVzv,1k2r3/p1b3Q1/Pp6/2pP1R1p/2P4N/5P2/4rKP1/8 w - - 3 41,f2f1 e2e1 f1f2 e8e2,795,77,100,238,endgame mate mateIn2 short,https://lichess.org/Ug9q7CeY#81,,True,https://lichess.org/training/kjVzv
Pwivv,5r1k/p2P4/4p3/4P2p/5rp1/2Q3R1/4R3/6K1 w - - 1 48,e2h2 f4f1 g1g2 f8f2,796,80,97,2063,endgame mate mateIn2 queenRookEndgame short,https://lichess.org/XYSAkhKJ#95,,True,https://lichess.org/training/Pwivv
9bmS5,4r1k1/p2R3R/5rn1/2p1p1N1/2P2p2/P7/6PP/7K b - - 1 35,g6f8 d7g7,798,78,100,177,endgame mate mateIn1 oneMove,https://lichess.org/SoRMDYZQ/black#70,,True,https://lichess.org/training/9bmS5
pkcTC,6rk/p1p4p/1p1p4/3Pp1r1/2P1Qp2/1P1B1P1q/P1R3P1/5K2 w - - 0 32,g2h3 g5g1 f1f2 g8g2,799,79,98,1686,endgame mate mateIn2 short,https://lichess.org/c2f2sttN#63,,True,https://lichess.org/training/pkcTC
wzOjX,3k4/6pp/3r2p1/1K2R3/7P/4R1P1/8/2r5 b - - 5 50,c1c7 e5e8 d8d7 e3e7,799,96,93,299,endgame mate mateIn2 rookEndgame short,https://lichess.org/eCKdTa2b/black#100,,True,https://lichess.org/training/wzOjX
Dpfo7,6r1/p2k1p2/2p1p3/3pP3/QP3P1p/N1P2R1P/P5rK/8 w - - 2 32,h2h1 g2g1 h1h2 g8g2,802,87,94,154,endgame mate mateIn2 short,https://lichess.org/pgxuTzDF#63,,True,https://lichess.org/training/Dpfo7
zGnM8,2r3k1/p4p2/1p2p1pR/4P3/3PK3/7R/P4rP1/8 b - - 0 30,c8c2 h6h8 g8g7 h3h7,802,77,96,110,endgame mate mateIn2 rookEndgame short,https://lichess.org/2cVfQwih/black#60,,True,https://lichess.org/training/zGnM8
jCWQa,6bk/8/3p2R1/N7/P7/1Pp1R3/K1P5/5r1r w - - 5 37,e3c3 f1a1 a2b2 h1b1,802,79,99,1218,endgame mate mateIn2 short,https://lichess.org/JMTVBen1#73,,True,https://lichess.org/training/jCWQa
Lnb0Q,2r3k1/p4p2/1p2p1p1/4P3/2P4R/1KP4R/P4rP1/8 b - - 3 25,c8c5 h4h8 g8g7 h3h7,803,85,92,1099,endgame mate mateIn2 rookEndgame short,https://lichess.org/mY2ge6m5/black#50,,True,https://lichess.org/training/Lnb0Q
lJT8o,k6r/P6r/4p3/R1BpPp2/3P2p1/2P3P1/5P2/6K1 w - - 1 37,a5b5 h7h1 g1g2 h8h2,803,99,95,393,endgame mate mateIn2 short,https://lichess.org/xOkbGLoq#73,,True,https://lichess.org/training/lJT8o
LaNRA,r1b3k1/p4r1p/1pp3Q1/3pP3/8/P1P5/5P1R/3K3R b - - 0 25,h7g6 h2h8 g8g7 h1h7,803,78,91,441,endgame mate mateIn2 short,https://lichess.org/bUic3ZGN/black#50,,True,https://lichess.org/training/LaNRA
iYQQw,2k5/pp1r1p1p/2P1p2p/3rP3/6P1/PR5P/5PK1/1R6 b - - 0 31,b7c6 b3b8 c8c7 b1b7,803,106,94,1122,endgame mate mateIn2 rookEndgame short,https://lichess.org/fqRxrnp3/black#62,,True,https://lichess.org/training/iYQQw
BNYqo,3r1rk1/pp3bpR/5p2/3p4/2p2q2/2P3RP/PPB2P2/5QK1 b - - 2 27,f6f5 g3g7,803,87,95,242,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/0o2IwCKF/black#54,,True,https://lichess.org/training/BNYqo
al87T,3r2k1/1p4p1/6p1/1nP1p3/2R2p2/5P1P/3r1BP1/1R2K3 w - - 0 34,b1b5 d2d1 e1e2 d8d2,803,79,98,1954,endgame mate mateIn2 short,https://lichess.org/825N75Jc#67,,True,https://lichess.org/training/al87T
SGHUK,4b1k1/8/2p1p1pR/2rpP1P1/p4PK1/Pr2P3/8/7R b - - 3 39,e8f7 h6h8 g8g7 h1h7,803,80,96,258,endgame mate mateIn2 short,https://lichess.org/YBInp85f/black#78,,True,https://lichess.org/training/SGHUK
NHO4C,6k1/r1p2p2/p2r1Pp1/1p2n3/2p5/4P2R/PPP1B3/2K4R b - - 3 28,d6f6 h3h8 g8g7 h1h7,804,100,92,167,endgame mate mateIn2 short,https://lichess.org/wqKgcnuK/black#56,,True,https://lichess.org/training/NHO4C
MfvKM,2b2qr1/2r4k/p3p1RQ/1p1pNp2/1PpP4/2P4R/5P1P/1B4K1 b - - 0 36,f8h6 h3h6,804,100,94,595,mate mateIn1 middlegame oneMove,https://lichess.org/pIy74tEn/black#72,,True,https://lichess.org/training/MfvKM
jDqyn,6k1/5p2/3r1Pp1/1p1bp3/pP2p2R/P1P4R/2K4P/8 b - - 1 49,d6f6 h4h8 g8g7 h3h7,805,82,88,97,endgame master masterVsMaster mate mateIn2 short,https://lichess.org/IdIFNg3k/black#98,,True,https://lichess.org/training/jDqyn
PLFii,1r4k1/pr3ppp/2p5/2p5/6PP/P1bP4/1P1R1P2/2K3NR w - - 0 22,b2c3 b7b1 c1c2 b8b2,805,108,95,1229,endgame mate mateIn2 queensideAttack short,https://lichess.org/zsXLoi6Z#43,,True,https://lichess.org/training/PLFii
Ws7i7,4k3/pp3p2/4pP1r/7p/3R4/3R3P/PPr3PK/8 b - - 4 29,h6f6 d4d8 e8e7 d3d7,806,103,95,866,endgame mate mateIn2 rookEndgame short,https://lichess.org/MF0TKI0p/black#58,,True,https://lichess.org/training/Ws7i7
A8LPg,1k6/2p2p2/1p1p4/3P3p/R2Pr3/8/4B2r/R4K2 b - - 3 43,e4e2 a4a8 b8b7 a1a7,806,104,94,641,endgame mate mateIn2 rookEndgame short,https://lichess.org/yoXdHmbl/black#86,,True,https://lichess.org/training/A8LPg
MdArB,1k3b1r/p1r2ppp/1Q1p4/3P4/1P6/2q2B1P/R4PP1/R5K1 b - - 0 25,a7b6 a2a8 b8b7 a1a7,806,80,97,2002,mate mateIn2 middlegame queensideAttack short,https://lichess.org/oMzz98Vy/black#50,,True,https://lichess.org/training/MdArB
