PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rook_Queen,puzzle_ref,unique_id
0PIA7,4r1k1/pp3pP1/1bp5/4qb2/4N3/3P1p2/PP1Q4/1K3B1R b - - 1 30,f5e4 h1h8 g8g7 d2h6,1687,75,92,829,mate mateIn2 middlegame short,https://lichess.org/dkjh3nUl/black#60,,True,https://lichess.org/training/0PIA7,8918
0Q731,5q1k/p5pp/8/3Q4/P2P4/6P1/1r3r1P/3RR2K w - - 1 34,h2h4 f2h2 h1g1 f8f2,1323,75,93,5055,endgame mate mateIn2 short,https://lichess.org/fiTxy9Lm#67,,True,https://lichess.org/training/0Q731,9205
0QaKv,k4r2/1pQ5/pBbp1N2/4P3/1p6/3P2rp/P1P2Rp1/6K1 w - - 0 39,c7d6 h3h2 g1h2 g2g1q,1117,76,75,86,advancedPawn attraction mate mateIn2 middlegame promotion short,https://lichess.org/FmWf5npU#77,,True,https://lichess.org/training/0QaKv,9374
0R0wR,4k3/p1R1np2/3np2p/Pq1pN2Q/2RP4/4P2P/6rr/5K2 b - - 7 35,d6c4 h5f7 e8d8 f7e7,1234,77,98,5276,attackingF2F7 mate mateIn2 middlegame short,https://lichess.org/IzrSFokY/black#70,,True,https://lichess.org/training/0R0wR,9517
0RE7e,8/8/p2Q4/1p6/4p3/3kq3/r5PP/5R1K b - - 4 57,d3e2 d6d1,1214,285,82,25,endgame mate mateIn1 oneMove,https://lichess.org/EWFrHIW7/black#114,,True,https://lichess.org/training/0RE7e,9587
0SBK1,8/2r1p2Q/1q1p1p2/p2PnP1k/1p2PR2/P7/1P4P1/7K b - - 0 34,h5g5 h7h4,980,76,96,668,endgame mate mateIn1 oneMove,https://lichess.org/UAUcV75i/black#68,,True,https://lichess.org/training/0SBK1,9878
0SpON,r3r1k1/ppp2pPR/2n2b2/3q4/5Q2/3B4/1pP2PP1/1K1R2N1 b - - 2 18,d5a5 h7h8 g8g7 f4h6,1363,76,96,9337,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/Akjv0ys7/black#36,French_Defense French_Defense_Exchange_Variation,True,https://lichess.org/training/0SpON,10115
0SuI8,3r2kR/2p2p2/1p1q1p2/pP1p4/P2Pr2Q/4P2P/2P3P1/3N2K1 b - - 2 29,g8g7 h4h6,882,76,100,106,endgame mate mateIn1 oneMove,https://lichess.org/T7BQFTs8/black#58,,True,https://lichess.org/training/0SuI8,10137
0T3JL,r2r3k/p1Q2R2/1p4pp/8/5P2/3b4/Pq4PP/5RK1 b - - 3 28,d3f1 f7h7 h8g8 c7f7,1192,78,93,2483,endgame mate mateIn2 short,https://lichess.org/rch3kDsF/black#56,,True,https://lichess.org/training/0T3JL,10192
0Tcen,rnbq1r2/ppp1p1kR/3p2P1/4P3/2nP4/2N5/PPP3P1/R2QK1N1 b Q - 1 14,g7g6 d1h5,829,79,97,238,mate mateIn1 oneMove opening,https://lichess.org/Q69VeJnc/black#28,Modern_Defense Modern_Defense_Standard_Defense,True,https://lichess.org/training/0Tcen,10357
