PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rook_Queen,puzzle_ref
ixduQ,r2q1rk1/p1pn1p2/1p1pN1p1/7p/2PP4/2P1P2Q/P4P1P/R3K1R1 b Q - 1 18,f7e6 g1g6 g8f7 h3e6,1937,77,89,158,intermezzo kingsideAttack mate mateIn2 middlegame short,https://lichess.org/y5Z6bQxA/black#36,Nimzo-Indian_Defense Nimzo-Indian_Defense_Three_Knights_Variation,True,https://lichess.org/training/ixduQ
ixjES,8/1pp3qr/3p4/p2Q4/2Pkp3/P7/1PP2R2/2K5 b - - 9 41,d4e3 d5d2,1191,77,84,303,endgame mate mateIn1 oneMove,https://lichess.org/iRRDQSJA/black#82,,True,https://lichess.org/training/ixjES
iy0LI,4R1k1/ppp3p1/6p1/6P1/n1P5/4B2Q/P5PK/3rq3 b - - 12 32,g8f7 h3e6,743,78,95,421,endgame mate mateIn1 oneMove,https://lichess.org/5tzm5Wnf/black#64,,True,https://lichess.org/training/iy0LI
iy8s5,2k5/1p6/1PpR2p1/3nQ3/5Pq1/8/1KP5/7r b - - 6 31,d5b6 e5e8 c8c7 e8d8,1373,238,100,2,endgame mate mateIn2 short,https://lichess.org/3YTlLkOc/black#62,,True,https://lichess.org/training/iy8s5
iyQpI,2r4k/4QR2/4p2p/p3P3/8/6P1/n2q1PPK/8 b - - 10 36,d2g5 f7h7 h8g8 e7f7,1159,77,77,128,endgame mate mateIn2 short,https://lichess.org/FC5CCbD0/black#72,,True,https://lichess.org/training/iyQpI
iySof,2R1n1k1/p4bpp/8/2Q5/1P2q3/P3r3/6PP/2R3K1 w - - 4 28,c5c2 e3e1 g1f2 e4e3,1434,75,92,1414,mate mateIn2 middlegame short,https://lichess.org/mjA1fIob#55,,True,https://lichess.org/training/iySof
izt4p,5b1r/3rk3/p2p2Pp/3Pq1p1/2P3Q1/4P3/3K4/5R2 b - - 0 40,f8g7 f1f7 e7e8 g4d7,1371,75,92,602,endgame mate mateIn2 short,https://lichess.org/uPzonw4W/black#80,,True,https://lichess.org/training/izt4p
j092T,2r2k1R/p1q2r2/3pQ3/4p1p1/3PP3/3Bn1P1/6PP/6K1 b - - 3 29,f8g7 e6h6,963,83,88,31,master mate mateIn1 middlegame oneMove,https://lichess.org/s8hippQW/black#58,,True,https://lichess.org/training/j092T
j0xin,5rk1/2p3pp/Pp6/3N4/2P3Pq/P1BQ4/8/1R5K w - - 3 35,h1g2 f8f2 g2g1 h4h2,1563,74,93,1501,endgame mate mateIn2 short,https://lichess.org/h7izZxhU#69,,True,https://lichess.org/training/j0xin
j1X4K,3rR1k1/pp3Np1/6p1/8/2pq1P2/4Q3/PP4PP/7K b - - 1 35,g8f7 e3e6,963,94,94,105,endgame mate mateIn1 oneMove,https://lichess.org/d9v1vO1p/black#70,,True,https://lichess.org/training/j1X4K
j2dRu,7k/pbpQ1Rr1/1pn3Np/2b1q2r/2P1P3/3P2P1/PP4BP/R6K b - - 2 22,g7g6 f7h7 h8g8 d7f7,1345,75,85,464,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/9miiT3e5/black#44,,True,https://lichess.org/training/j2dRu
j2x8c,N5k1/1p4b1/2np2n1/p1p1p3/2P1N2q/P2PP2r/1P3PQ1/1RB3K1 w - - 2 24,g2g6 h3h1 g1g2 h4h3,1298,74,96,2475,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/mrMFzZ48#47,,True,https://lichess.org/training/j2x8c
j3nKc,7Q/6r1/4R1kp/p1p2pp1/8/2P3q1/PPK3P1/8 b - - 3 43,g6f7 h8e8,930,75,100,273,endgame master mate mateIn1 oneMove,https://lichess.org/hdWzrT50/black#86,,True,https://lichess.org/training/j3nKc
j4Rga,R1k3r1/1br5/3Q1p2/3P4/4q3/2P3PP/7B/R5K1 b - - 1 32,b7a8 a1a8 c8b7 d6a6,1460,76,94,5925,mate mateIn2 middlegame short,https://lichess.org/IVTVQDTV/black#64,,True,https://lichess.org/training/j4Rga
j5F09,r1bq4/ppp3pR/2np1kN1/3Q4/4N1n1/1P1P2P1/PbP2P2/R3K3 b Q - 3 18,f6g6 d5h5,1413,76,92,941,mate mateIn1 middlegame oneMove,https://lichess.org/qfkFQcDF/black#36,Nimzo-Larsen_Attack Nimzo-Larsen_Attack_Other_variations,True,https://lichess.org/training/j5F09
j5eKZ,3k3r/rN1n2pp/1R2Qb2/4p3/2P1bP2/8/qP1R2PP/2K5 b - - 3 25,a7b7 d2d7 b7d7 b6b8 d8c7 e6b6,1659,74,96,14120,exposedKing long master mate mateIn3 middlegame sacrifice,https://lichess.org/f1KlZ88K/black#50,,True,https://lichess.org/training/j5eKZ
j6Q9D,r1b2rk1/pp1n1p2/3p1Bp1/3B4/2p1P2R/7Q/PqP3PP/5R1K b - - 0 22,d7f6 h4h8 g8g7 h3h6,1600,81,69,44,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/D1aPvYXB/black#44,,True,https://lichess.org/training/j6Q9D
j6VO8,q7/p2pR3/1p1P1kp1/2p2p2/5QP1/2PP4/PP2Kb2/r7 b - - 0 27,f2h4 g4g5 h4g5 f4e5,1739,75,86,1170,endgame mate mateIn2 short,https://lichess.org/hfg1c9Bh/black#54,,True,https://lichess.org/training/j6VO8
j6r0Z,2q3k1/4Rpb1/1p4p1/4PpP1/4bK1Q/B3P3/6r1/8 b - - 7 36,c8c4 e7e8 g7f8 e8f8 g8g7 h4h8,1029,77,100,57,long mate mateIn3 middlegame,https://lichess.org/DxJtOfcs/black#72,,True,https://lichess.org/training/j6r0Z
j78wB,1r3k2/4pp2/p2p1bpR/3P4/2r1B3/1Pp4Q/P1P2qPP/1R5K b - - 4 26,c4e4 h6h8 f8g7 h3h6,942,89,94,843,mate mateIn2 middlegame short,https://lichess.org/vZhH137z/black#52,,True,https://lichess.org/training/j78wB
j7cV8,6r1/3q4/Pp3Rk1/3PQ3/3p4/8/4P1rp/7K b - - 6 43,g6h7 e5h5 h7g7 h5h6,1283,74,97,18758,endgame mate mateIn2 short,https://lichess.org/V6hh1dH6/black#86,,True,https://lichess.org/training/j7cV8
j83wM,3Q4/r4k1r/p4R2/1p6/5p2/2P2P1P/PP4PK/4q3 b - - 2 35,f7g7 d8f8,913,75,99,803,endgame mate mateIn1 oneMove,https://lichess.org/w7TjWNP0/black#70,,True,https://lichess.org/training/j83wM
