PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rook_Queen,puzzle_ref
M9d3w,8/1k5r/1p6/8/8/3Q1Pq1/3R4/6K1 w - - 0 52,g1f1 h7h1 f1e2 h1e1,1191,75,92,902,endgame mate mateIn2 short,https://lichess.org/M1fiVILq#103,,True,https://lichess.org/training/M9d3w
MAaVM,2r5/1p3pk1/6q1/p2pP1p1/P7/8/7R/2r1NQK1 b - - 3 34,g6e4 f1f6 g7g8 h2h8,1502,131,73,42,endgame mate mateIn2 short,https://lichess.org/nJ2roepW/black#68,,True,https://lichess.org/training/MAaVM
MArDw,r3bk2/1pp1q2Q/p3pR1p/4P3/8/P3P3/1PP3PP/6K1 b - - 0 24,e8f7 h7h8,1387,88,68,52,endgame mate mateIn1 oneMove,https://lichess.org/vWDNtVWE/black#48,,True,https://lichess.org/training/MArDw
MB29D,Q2k3r/2p3pp/1r1p3q/p7/4P1n1/P7/1PP3P1/R4RK1 b - - 7 28,d8d7 f1f7 d7e6 a8d5,1447,74,93,542,mate mateIn2 middlegame short,https://lichess.org/BOnWWWL7/black#56,,True,https://lichess.org/training/MB29D
MBdca,3Q4/p4pkp/4r3/2bB2B1/6nP/2NP3q/PPP2P2/5RK1 w - - 4 28,g5f4 c5f2 f1f2 e6e1 f2f1 e1f1,1953,80,94,11322,kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/EwAJawop#55,,True,https://lichess.org/training/MBdca
MDp4B,r2rb1k1/p4p2/2p1pQp1/1p6/2qP4/7R/5PPP/5RK1 b - - 1 25,c4d4 h3h8,1532,117,52,176,mate mateIn1 middlegame oneMove,https://lichess.org/T5C0eetu/black#50,,True,https://lichess.org/training/MDp4B
MEe5o,2r1kbQ1/p3qppN/4p3/3p4/3P4/6P1/Pp1N1PR1/2K5 w - - 0 22,c1b1 c8c1 b1b2 e7a3,1296,78,81,486,mate mateIn2 middlegame queensideAttack short,https://lichess.org/vPzlWwL9#43,,True,https://lichess.org/training/MEe5o
MEmUu,6rk/1b3p1p/p2p4/4bP2/Pp1p3Q/1P3B1P/2qN1P2/R2R1K2 w - - 0 33,f3b7 c2d3 f1e1 g8g1 d2f1 g1f1,1530,75,96,5572,long mate mateIn3 middlegame,https://lichess.org/ojbYceWS#65,,True,https://lichess.org/training/MEmUu
MGIog,4r2k/p2R2pp/1p6/7q/8/3Q4/P4PPP/5K1R w - - 3 23,g2g3 h5h3 f1g1 e8e1 d3f1 e1f1,1217,75,92,2936,endgame long mate mateIn3,https://lichess.org/7e7wKSjf#45,,True,https://lichess.org/training/MGIog
MGRPg,r5r1/1bpqn2p/3p1Q1k/p1p1P3/5R2/2N1P3/PPP3PP/R5K1 b - - 4 17,g8g6 f4h4,1010,76,89,845,mate mateIn1 middlegame oneMove,https://lichess.org/9G5Xi1jM/black#34,Three_Knights_Opening Three_Knights_Opening_Other_variations,True,https://lichess.org/training/MGRPg
MGhbG,5Q2/1p3p1k/4p1pp/p4r2/8/5NK1/1q5R/8 b - - 5 49,b2c3 h2h6,1581,123,58,209,endgame mate mateIn1 oneMove,https://lichess.org/2Jm4qp52/black#98,,True,https://lichess.org/training/MGhbG
MH9Er,r1rk1Q2/8/7p/8/qP1Pp1nP/2P1P3/p7/1N3RK1 b - - 7 41,a4e8 f8d6 e8d7 f1f8,1329,104,60,25,clearance mate mateIn2 middlegame short,https://lichess.org/ZKOyO46j/black#82,,True,https://lichess.org/training/MH9Er
MIl08,1r1r4/1qpQ4/8/1P2p3/P2N2p1/8/4kPPP/3R2K1 b - - 5 38,e5d4 d7g4 b7f3 g4f3,1492,76,86,221,endgame mate mateIn2 short,https://lichess.org/6lODbYhW/black#76,,True,https://lichess.org/training/MIl08
MJHeX,2r5/4Qpk1/4p1p1/3pP1P1/P2q1P2/3P4/K6R/8 b - - 2 36,d4d3 e7f6 g7g8 h2h8,853,76,97,2406,endgame mate mateIn2 short,https://lichess.org/gzDMWpzq/black#72,,True,https://lichess.org/training/MJHeX
MKLJZ,4r3/pp3k2/2p5/3p2B1/6N1/5q2/PPP2R2/2K1r1R1 w - - 5 33,g1e1 e8e1 c1d2 e1d1,1789,76,92,4352,endgame mate mateIn2 short,https://lichess.org/uf1NKz2n#65,,True,https://lichess.org/training/MKLJZ
