PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rooks,puzzle_ref
0f9JL,k5r1/pR6/3N1p1p/1p2b2r/8/R6P/P4PP1/6K1 b - - 2 34,e5d6 a3a7,966,79,89,302,endgame mate mateIn1 oneMove,https://lichess.org/uy26HF4e/black#68,,True,https://lichess.org/training/0f9JL
0fFsH,6k1/R1R2p1p/4p3/1pN3p1/4PP2/6K1/P2r2rP/8 w - - 0 34,g3f3 g5g4 f3e3 g2e2,1605,131,87,17,endgame mate mateIn2 short,https://lichess.org/0yiaqfJt#67,,True,https://lichess.org/training/0fFsH
0hsk1,1rb5/4R2R/p4kp1/1p6/5P2/P1b5/2P3P1/1K6 b - - 0 40,b5b4 h7f7,1224,75,100,340,endgame mate mateIn1 oneMove,https://lichess.org/C5NoOsAq/black#80,,True,https://lichess.org/training/0hsk1
0jTzC,5r1k/4R2p/p1P2q2/2P5/P7/4Q1Pp/6rP/4R1K1 w - - 3 38,g1h1 f6f1 e1f1 f8f1 e3g1 f1g1,994,79,91,167,endgame long mate mateIn3 sacrifice,https://lichess.org/D1req36h#75,,True,https://lichess.org/training/0jTzC
0kqX7,2r3kr/3b1p1p/p3pQpR/2qp2P1/1p3P2/1PN5/PP6/1K5R b - - 1 31,b4c3 f6h8 g8h8 h6h7 h8g8 h7h8 g8g7 h1h7,1965,84,100,38,attraction kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/5EMCI4R8/black#62,,True,https://lichess.org/training/0kqX7
0mnoT,r2r3R/1b3k1Q/p1pp1p2/1p2nP2/4P1q1/P1P5/2P5/2K4R b - - 3 28,g4g7 h7g7 f7g7 h1h7,1749,75,82,234,attraction mate mateIn2 middlegame short,https://lichess.org/72eiJhwb/black#56,,True,https://lichess.org/training/0mnoT
0mrtD,7r/pp1P4/4k3/7r/4PRp1/6P1/P4P2/1B1R2K1 w - - 2 42,d7d8q h5h1 g1g2 h8h2,1214,75,90,1238,endgame mate mateIn2 short,https://lichess.org/OWx46eMN#83,,True,https://lichess.org/training/0mrtD
0n1di,3b4/R4pp1/1k2n2p/2prP3/2P5/4B3/1r3PPP/R5K1 b - - 0 30,d5e5 a1a6,1116,77,89,1874,master masterVsMaster mate mateIn1 middlegame oneMove,https://lichess.org/nyGDjSNY/black#60,,True,https://lichess.org/training/0n1di
0n4OK,5r2/QRpk4/2p5/p2n1r2/P2Pp2p/2P3PR/8/4K3 w - - 3 38,h3h4 f5f1 e1e2 f8f2,1098,77,92,518,endgame mate mateIn2 short,https://lichess.org/KCyuXJCn#75,,True,https://lichess.org/training/0n4OK
0na3A,4R3/6pk/7p/8/2P5/P7/1P1r2rP/4R1K1 w - - 1 38,g1f1 d2f2,1142,98,41,31,endgame master mate mateIn1 oneMove rookEndgame,https://lichess.org/Iq5tH5nk#75,,True,https://lichess.org/training/0na3A
0pVkn,8/p2rkR1p/6p1/4p3/2p1K3/2P3P1/P1Pr3P/5R2 b - - 5 34,e7e6 f1f6,1010,78,94,1892,endgame master mate mateIn1 oneMove rookEndgame,https://lichess.org/3KvoCQUz/black#68,,True,https://lichess.org/training/0pVkn
0qPi1,1r2r1k1/1p3p1R/p1pn2p1/3p2P1/1K1P3R/4P2P/8/8 b - - 0 33,d6f5 h7h8 g8g7 h4h7,873,77,89,201,endgame mate mateIn2 short,https://lichess.org/fMhXaqL8/black#66,,True,https://lichess.org/training/0qPi1
0rPPK,6k1/5r1p/p1p3B1/1b2p1P1/3r4/4K3/7R/7R b - - 0 29,h7g6 h2h8 g8g7 h1h7,753,85,94,276,endgame mate mateIn2 short,https://lichess.org/uo9xxy6T/black#58,,True,https://lichess.org/training/0rPPK
0rXLv,r4r2/p2nbp1R/2p1p1k1/3p4/3P1P2/3P2N1/PP4P1/1K5R b - - 4 25,e7f6 h1h6,1209,74,99,1607,mate mateIn1 middlegame oneMove,https://lichess.org/2dPcrz8e/black#50,,True,https://lichess.org/training/0rXLv
0sbJD,2r5/1p4p1/p2k1p2/3P4/PP1pP2p/1K1R1P1P/2r5/3R4 w - - 0 33,d3d4 c8c3,1057,85,93,1407,endgame master masterVsMaster mate mateIn1 oneMove rookEndgame,https://lichess.org/hgjXFJ85#65,,True,https://lichess.org/training/0sbJD
0t6BT,8/4R1Rp/5k2/3K4/1p2pPP1/8/Prp2P1P/8 b - - 7 41,c2c1q e7f7,1844,84,89,1769,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/r6N2LJeo/black#82,,True,https://lichess.org/training/0t6BT
0tzkm,3rk1Rr/1p3p2/p2p4/2pPnP2/3qP2p/P3Q3/1PP5/2K2BR1 b k - 2 32,e8e7 e3g5 f7f6 g5g7 e5f7 g7f7 e7f7 g1g7,2094,85,96,35,attraction mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/zlCkDsi9/black#64,,True,https://lichess.org/training/0tzkm
0v9Ev,7r/n4k1r/p1P2p2/1p1p3q/4p1p1/P3P1P1/1B2NPQ1/2RR2K1 w - - 7 33,e2f4 h5h1 g2h1 h7h1 g1g2 h8h2,908,88,94,1904,kingsideAttack long mate mateIn3 middlegame,https://lichess.org/WEs4mo2g#65,,True,https://lichess.org/training/0v9Ev
0w33x,2kr4/1R3Rpp/8/rp6/8/1K6/8/8 b - - 1 35,a5a1 f7c7,1059,84,93,1051,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/Q7uO9sJ9/black#70,,True,https://lichess.org/training/0w33x
0wUpA,2n3rk/pp3prp/2p2p2/3p1P1Q/3P3R/2P3PR/P1PqB1KP/8 b - - 8 30,g8e8 h5h7 g7h7 h4h7 h8g8 h7h8 g8g7 h3h7,1092,78,64,311,kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/VsJF77qA/black#60,,True,https://lichess.org/training/0wUpA
0xDSZ,r2q2k1/1pp2r1p/p1n3QR/3pP3/3P4/P4N2/1P3PP1/2K4R b - - 0 22,h7g6 h6h8 g8g7 h1h7,1596,75,96,8096,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/PHOXmRxn/black#44,,True,https://lichess.org/training/0xDSZ
0xaaP,8/2p2R2/1p1pk3/p6p/2P3n1/1P5P/r7/5RK1 b - - 0 42,g4e5 f1f6,1221,75,97,6608,endgame mate mateIn1 oneMove,https://lichess.org/CSzxJdYU/black#84,,True,https://lichess.org/training/0xaaP
0z2GW,8/8/3Rp3/5Pp1/3R4/5P1k/5K2/4r2r w - - 1 44,d6e6 h1f1,1384,74,93,5022,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/FDQwXHsn#87,,True,https://lichess.org/training/0z2GW
0zBA4,1k5r/p1p5/1p5q/3P4/7r/1P1P2R1/P4QB1/5NK1 w - - 8 40,g2f3 h4h1 g1g2 h6h2 f1h2 h8h2,1088,76,89,676,exposedKing long mate mateIn3 middlegame sacrifice,https://lichess.org/bYYZ7KfF#79,,True,https://lichess.org/training/0zBA4
0zYMN,2k5/pp1r1pp1/2Q1p2p/4P2P/r7/8/PR3P2/KR6 b - - 0 30,b7c6 b2b8 c8c7 b1b7,807,76,98,273,endgame mate mateIn2 rookEndgame short,https://lichess.org/37zwL4mZ/black#60,,True,https://lichess.org/training/0zYMN
