PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rook_Knight,puzzle_ref
LW8S5,4r3/7p/2pN3k/pp3p2/7P/5K2/PbP2P2/6R1 b - - 3 31,e8e6 d6f5 h6h5 g1g5,1847,79,87,1473,endgame mate mateIn2 short,https://lichess.org/l4w5MeYc/black#62,,True,https://lichess.org/training/LW8S5
LWXGe,k1N5/2P2p2/1R3p2/p5p1/8/1P2n1r1/PK6/8 b - - 2 41,e3d5 b6b8,1484,78,89,409,endgame mate mateIn1 oneMove,https://lichess.org/13KljASO/black#82,,True,https://lichess.org/training/LWXGe
LXbH6,4r3/r6p/p3N3/1n1B2P1/7k/2P5/P6P/5RK1 b - - 2 34,b5c3 f1f4 h4h5 d5f3 h5g6 f4f6,1830,76,96,13170,endgame long mate mateIn3,https://lichess.org/RJjM4yDX/black#68,,True,https://lichess.org/training/LXbH6
LaDVQ,2r3k1/bp4pp/p3b3/6N1/3pQpPP/1nqK1P2/2R1PB2/5B1R w - - 6 30,c2c3 c8c3,1451,452,43,6,master mate mateIn1 middlegame oneMove,https://lichess.org/zXJQOxlm#59,,True,https://lichess.org/training/LaDVQ
Leavq,r3r2R/3R2k1/2p1p1q1/p3Npp1/2P5/1P2b1P1/PB4K1/8 b - - 7 31,g7h8 e5g6 h8g8 d7g7,1455,75,80,495,doubleCheck hangingPiece mate mateIn2 middlegame short,https://lichess.org/qv9c1fEv/black#62,,True,https://lichess.org/training/Leavq
LfXMN,8/p2k4/2p1p1rp/1p2Rn2/3P2K1/2P2P2/PP2R3/4B3 w - - 0 30,g4h5 g6g5,1464,83,80,348,endgame mate mateIn1 oneMove,https://lichess.org/pv40PIsQ#59,,True,https://lichess.org/training/LfXMN
Lm11u,N3r1k1/1p4pp/p7/1b1p4/8/1PBn4/1P3PPP/2R1K2R w K - 1 22,e1d1 d3f2 d1c2 b5d3 c2d2 e8e2,1839,74,95,13248,exposedKing fork long mate mateIn3 middlegame,https://lichess.org/ySOBPiCT#43,,True,https://lichess.org/training/Lm11u
LnhOg,7r/p3kpp1/4bn2/8/2PP2np/5BK1/P4PP1/RN1Q1R2 w - - 0 20,g3f4 g7g5 f4g5 h8h5 g5f4 h5f5,1903,81,81,40,attraction long mate mateIn3 middlegame,https://lichess.org/BFBbc0A7#39,,True,https://lichess.org/training/LnhOg
LoLL9,r4r2/p4p2/1p1p1N1k/2p1pP2/4P2P/3P2RK/PPn2q2/6R1 b - - 1 28,c2d4 g3g6 f7g6 g1g6,1952,83,71,60,mate mateIn2 middlegame sacrifice short,https://lichess.org/JqOHbt3A/black#56,,True,https://lichess.org/training/LoLL9
LpGEL,r3k3/b2R1p2/p3p2p/4N3/4Np2/1b2nP2/3K3P/1r5R b q - 7 28,b1h1 e4f6 e8f8 d7f7,1351,76,98,6235,mate mateIn2 middlegame short,https://lichess.org/i0inxswv/black#56,,True,https://lichess.org/training/LpGEL
LqsOa,1r1k4/2R2ppp/2KNp3/4P3/5n2/8/5P1P/8 b - - 13 40,f4d5 c7d7,1758,75,96,2193,endgame mate mateIn1 oneMove,https://lichess.org/3VOCPZQF/black#80,,True,https://lichess.org/training/LqsOa
LrUwa,r1b2rk1/2R1RN1p/1p2p1p1/8/8/p7/5PPP/6K1 b - - 0 28,a3a2 f7h6 g8h8 e7h7,989,92,93,448,discoveredAttack endgame mate mateIn2 short,https://lichess.org/Tm45KSRF/black#56,,True,https://lichess.org/training/LrUwa
Lv9Tj,6rk/1p3prp/p2R4/4p3/2P4p/2B1PnPq/PP2QPK1/2R5 w - - 0 27,g2h3 g7g3 f2g3 g8g3,1689,75,94,3359,mate mateIn2 middlegame sacrifice short,https://lichess.org/5uZnNxUZ#53,,True,https://lichess.org/training/Lv9Tj
LvfcV,4rk2/pp5R/n1p5/4NpK1/8/6P1/PBP2r2/8 b - - 2 32,a6c5 e5g6 f8g8 h7g7,2011,82,68,60,endgame master mate mateIn2 short,https://lichess.org/HHdsZpWH/black#64,,True,https://lichess.org/training/LvfcV
Lw34n,R7/3P1k1p/8/1p4p1/4P1P1/P4p1K/4nr2/8 w - - 0 44,d7d8q e2g1 h3g3 f2g2,1944,76,95,12184,endgame mate mateIn2 short,https://lichess.org/HeCWN5jo#87,,True,https://lichess.org/training/Lw34n
LzzBG,8/k4ppp/2p5/2PpN3/3P4/1R3PP1/p4K1P/2b5 b - - 1 35,a2a1q e5c6 a7a6 b3b6,1376,74,98,2322,endgame mate mateIn2 short,https://lichess.org/OiH0B8TK/black#70,,True,https://lichess.org/training/LzzBG
M1PR3,6R1/2p1kp1R/8/pr2n1N1/8/1K6/PP4P1/8 w - - 6 37,b3a4 b5b4 a4a5 e5c6 a5a6 b4b6,1952,76,95,11514,endgame long mate mateIn3,https://lichess.org/HKogjk8d#73,,True,https://lichess.org/training/M1PR3
M45F7,4r2k/3R1N2/2pB1p2/p4B2/2P5/8/5qPK/r7 b - - 1 42,h8g8 f7h6 g8h8 d7h7,993,76,96,1196,mate mateIn2 middlegame short,https://lichess.org/dFjiEDCy/black#84,,True,https://lichess.org/training/M45F7
M7O4B,4k3/6p1/p7/2p1p3/2P1B3/P2P1P1b/2r1n3/R2N2K1 w - - 7 31,g1h1 e2g3 h1g1 c2g2,1084,75,96,3347,endgame mate mateIn2 short,https://lichess.org/LxyjSqtQ#61,,True,https://lichess.org/training/M7O4B
M9mmW,8/4k2p/P1R5/1p2P3/8/4np1B/r6P/4K3 w - - 2 46,c6f6 a2e2,1878,79,91,969,endgame mate mateIn1 oneMove,https://lichess.org/cjzvyanW#91,,True,https://lichess.org/training/M9mmW
MArva,4r3/p6p/2p2P2/Pp1p4/5R1p/1P3Rnk/2P5/6K1 w - - 2 38,g1f2 e8e2 f2g1 e2g2,1725,97,90,33,endgame mate mateIn2 short,https://lichess.org/K0ldnF97#75,,True,https://lichess.org/training/MArva
MCOOK,6k1/6b1/6p1/p3p2P/P2pPN2/1rpP1PR1/2n2B2/K6R w - - 1 31,a1a2 b3b2,1629,78,94,2732,mate mateIn1 middlegame oneMove,https://lichess.org/kH31kMgT#61,,True,https://lichess.org/training/MCOOK
MDJDh,4k3/7R/p3NK2/5P2/8/r5r1/8/8 b - - 1 44,g3h3 h7e7,1510,76,90,7927,endgame master masterVsMaster mate mateIn1 oneMove,https://lichess.org/4aE6urMP/black#88,,True,https://lichess.org/training/MDJDh
MFwvD,1n3rk1/RR3N2/4p3/3p4/8/6bP/P7/2r2BK1 b - - 3 33,b8c6 f7h6 g8h8 b7h7,1139,79,83,315,mate mateIn2 middlegame short,https://lichess.org/uKyPPznp/black#66,,True,https://lichess.org/training/MFwvD
MLo35,r3B2r/pp2R2k/7p/6pN/5pb1/8/PP3P1P/6K1 b - - 3 25,h7g8 h5f6 g8f8 e7f7,1510,76,100,200,endgame fork mate mateIn2 short,https://lichess.org/5jZzX6y5/black#50,,True,https://lichess.org/training/MLo35
MMebB,r4k2/3R1p2/2K2N2/1p4N1/p7/7r/8/8 b - - 1 43,a4a3 d7f7,1530,76,84,156,endgame mate mateIn1 oneMove,https://lichess.org/8VJMj57r/black#86,,True,https://lichess.org/training/MMebB
MNzcq,8/6R1/8/4pP1k/3pP1N1/3P3P/1p6/2q2BK1 b - - 0 42,b2b1q g4f6 h5h6 g7g6,2073,80,75,89,endgame mate mateIn2 short,https://lichess.org/DVsxwHty/black#84,,True,https://lichess.org/training/MNzcq
MQcNN,b4k2/2p2ppp/N7/1p5n/8/1PN5/1PP4r/R3RK2 w - - 0 27,a6c7 h5g3 f1g1 h2g2,1721,90,76,28,mate mateIn2 middlegame short,https://lichess.org/GbpQoksl#53,,True,https://lichess.org/training/MQcNN
MRMUo,3B4/8/2R5/3P4/2P5/3kn3/1r6/4K3 w - - 1 59,d8g5 b2e2,1653,77,94,9101,endgame mate mateIn1 oneMove,https://lichess.org/NTp0WMpG#117,,True,https://lichess.org/training/MRMUo
MRV5q,r2r1k2/2R3p1/p2bp1Np/1p3p2/3Bn3/1P2P1P1/P4P1P/3R2K1 b - - 5 29,f8g8 c7g7,1308,80,80,435,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/vfctW61F/black#58,,True,https://lichess.org/training/MRV5q
MV7ik,3rr2k/4b2P/2p2p1P/pp3qN1/2nP1p2/2P2P2/PPQ5/K1B3RR b - - 0 28,f5c2 g5f7 h8h7 g1g7,1546,88,81,76,fork mate mateIn2 middlegame short,https://lichess.org/0CqJGI1n/black#56,,True,https://lichess.org/training/MV7ik
MVmI0,8/1R3p1k/4pP1p/3p4/5N2/4K3/r5rP/8 b - - 2 39,g2f2 b7f7 h7g8 f7g7 g8f8 f4e6 f8e8 g7e7,1873,75,95,10422,endgame mate mateIn4 veryLong,https://lichess.org/4Vodj9Gz/black#78,,True,https://lichess.org/training/MVmI0
MYn6c,r5kr/p2np3/6Pp/3N2p1/P2b4/8/1B4PP/R4R1K b - - 0 24,d4b2 d5e7 g8g7 f1f7,1123,76,89,608,mate mateIn2 middlegame short,https://lichess.org/JSlLES2I/black#48,,True,https://lichess.org/training/MYn6c
MrRQ9,8/pN1r4/1k6/6p1/PR6/2p4P/1n4P1/7K b - - 2 39,b6a6 b7c5 a6a5 b4b5,1565,75,86,1045,endgame fork mate mateIn2 short,https://lichess.org/7g1iYwyv/black#78,,True,https://lichess.org/training/MrRQ9
MvlP1,6k1/Qp6/4pp2/3b2p1/4n1P1/P5PN/2r3BK/8 w - - 1 38,h2h1 e4g3 h1g1 c2g2,1722,137,76,19,endgame mate mateIn2 short,https://lichess.org/ROF8qTMR#75,,True,https://lichess.org/training/MvlP1
