PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rook_Knight,puzzle_ref
2J2T7,1k1r3r/3b2pp/Rp3p2/1P2p2n/2NnB3/4B3/5PPP/4K2R b K - 7 24,d7b5 a6a8 b8c7 a8a7 c7c8 c4b6 c8b8 a7b7,2433,77,95,729,deflection exposedKing mate mateIn4 middlegame queensideAttack veryLong,https://lichess.org/0LpLoYIU/black#48,,True,https://lichess.org/training/2J2T7
2Jl5b,4rr2/p2R2kp/bpp3p1/6N1/2P2PN1/PP5P/1b4PK/8 b - - 4 28,g7g8 g4h6 g8h8 d7h7,1389,74,100,330,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/KacpAvi8/black#56,,True,https://lichess.org/training/2Jl5b
2M03Z,8/8/N2R4/6P1/P6P/kP1p4/2r3n1/4K3 w - - 2 52,e1d1 g2e3 d1e1 c2e2,1738,75,98,960,endgame mate mateIn2 short,https://lichess.org/YKLnPevf#103,,True,https://lichess.org/training/2M03Z
2b6Qi,5k2/2pN3R/4P3/pp6/2nK4/4r2p/7P/8 b - - 9 42,f8g8 d7f6 g8f8 h7f7,2003,79,86,51,endgame mate mateIn2 short,https://lichess.org/pxCcGY9A/black#84,,True,https://lichess.org/training/2b6Qi
2eVGq,6Q1/ppp4R/3p1k2/4n3/6P1/4b3/PPPr4/3K4 w - - 1 34,d1e1 e5f3 e1f1 d2f2,1515,75,98,2567,endgame mate mateIn2 short,https://lichess.org/V9adVjjQ#67,,True,https://lichess.org/training/2eVGq
2fguc,6k1/p4p1p/2bB2p1/7n/8/2N2N1P/Pr4P1/4R2K w - - 1 27,f3e5 h5g3 h1g1 b2g2,1546,75,100,339,mate mateIn2 middlegame short,https://lichess.org/2ToOXsvc#53,,True,https://lichess.org/training/2fguc
2gZhF,1r3N1k/5p1P/4p3/8/6R1/5P2/p4PK1/8 b - - 0 46,a2a1q g4g8,1034,76,100,158,endgame mate mateIn1 oneMove,https://lichess.org/8qHSWIJ5/black#92,,True,https://lichess.org/training/2gZhF
2yU0W,8/P7/6p1/4pkP1/1P1p1n1K/8/3P2r1/8 w - - 1 45,a7a8q g2g4,1677,80,83,202,endgame master mate mateIn1 oneMove,https://lichess.org/tLarjLt1#89,,True,https://lichess.org/training/2yU0W
3Ise0,8/8/4pkp1/3pN2p/PR2nP2/7P/r1r3P1/4R2K w - - 9 41,b4b7 e4g3 h1g1 c2g2,1415,76,97,250,endgame master mate mateIn2 short,https://lichess.org/VuRyn5MJ#81,,True,https://lichess.org/training/3Ise0
3NRfw,7k/2R1N3/p2p3P/1pp1p3/8/5K2/6r1/3n3r b - - 7 46,g2h2 e7g6 h8g8 c7g7,1839,79,91,251,endgame mate mateIn2 short,https://lichess.org/jvSx4Ncb/black#92,,True,https://lichess.org/training/3NRfw
3S3FR,4k3/7R/q3NK2/3p1p2/2nPp1p1/6P1/8/8 b - - 13 62,e4e3 h7e7,1805,75,96,2274,endgame mate mateIn1 oneMove,https://lichess.org/bFiuGr9K/black#124,,True,https://lichess.org/training/3S3FR
3e9DM,6R1/p7/8/2p2N1k/3b1K1p/6p1/P3r3/8 b - - 3 51,e2e5 g8g5,1603,77,95,640,endgame mate mateIn1 oneMove,https://lichess.org/XyREoh0F/black#102,,True,https://lichess.org/training/3e9DM
3fPel,4rk1N/ppp4p/3p2p1/2P5/6b1/1BPnK3/PP3nPP/RNB2R2 w - - 5 16,e3d2 e8e2,968,79,64,91,mate mateIn1 middlegame oneMove,https://lichess.org/SqehsST3#31,Kings_Pawn_Game Kings_Pawn_Game_Wayward_Queen_Attack,True,https://lichess.org/training/3fPel
3gRv4,8/pQ5p/4pkp1/5p2/P1P1n3/7P/3r1rP1/4R2K w - - 3 39,b7h7 e4g3 h1g1 f2g2,1241,76,74,103,endgame mate mateIn2 short,https://lichess.org/vV6ACm6I#77,,True,https://lichess.org/training/3gRv4
3nuCq,8/p5R1/7p/1pb2B1k/8/7N/P1r5/5K2 b - - 5 42,c2a2 h3f4 h5h4 g7g4,1475,75,99,2901,endgame mate mateIn2 short,https://lichess.org/s7SvC5HI/black#84,,True,https://lichess.org/training/3nuCq
