PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,PatternMatch,puzzle_ref,King_x,King_y,dir_detail
NEFcm,4r2r/4Pp1p/pq4k1/1p1p1Nb1/1P4QP/P7/5PP1/3R2K1 b - - 0 31,b6e6 g4g5,1379,77,90,942,mate mateIn1 middlegame oneMove,https://lichess.org/UOJNSJG7/black#62,,True,https://lichess.org/training/NEFcm,6,5,Queen_below_King
x1Tdo,2r1r3/pk6/Np5p/3p4/3P1Q1P/P1P5/qPKR1P2/8 w - - 2 38,a6b4 c8c3 c2c3 a2c4,1379,76,95,12649,attraction endgame mate mateIn2 pin sacrifice short,https://lichess.org/QHSeoIvX#75,,True,https://lichess.org/training/x1Tdo,2,2,Queen_above_King
YoaEz,2r3k1/p4pbp/qp2p1b1/3pP1N1/3P1PP1/2Q5/PP1K4/3R3R w - - 7 29,c3a3 c8c2 d2e3 a6e2,1380,75,96,1009,mate mateIn2 middlegame short,https://lichess.org/Gg70clEx#57,,True,https://lichess.org/training/YoaEz,4,2,Queen_below_King
Omi31,2r3r1/pb1p1k1p/1pn1p1p1/4P3/Pq2BP2/B1R5/3Q2PP/5R1K b - - 6 26,b4e4 d2d7 c6e7 d7e7,1380,77,97,20448,fork mate mateIn2 middlegame short,https://lichess.org/jSgJUqgi/black#52,,True,https://lichess.org/training/Omi31,5,6,Queen_left_King
4xhpW,8/4p1kp/p3B1p1/1PpP4/3b4/P2P1n2/4RP1q/1R1Q1K2 w - - 7 28,e2c2 h2g1 f1e2 g1f2,1380,75,95,5841,mate mateIn2 middlegame short,https://lichess.org/yY9NRDNB#55,,True,https://lichess.org/training/4xhpW,4,1,Queen_right_King
W8lca,1k6/p1p5/2pp4/4p3/4P3/2PPRQbq/PP5r/R1B3K1 w - - 0 24,f3g3 h2h1 g1f2 h3f1,1380,79,94,11786,endgame mate mateIn2 short,https://lichess.org/wfRue6I3#47,,True,https://lichess.org/training/W8lca,5,1,Queen_below_King
EjcjQ,8/5pk1/1q2p1p1/p7/8/2Q3P1/5P2/6K1 b - - 3 54,g7h6 c3h8 h6g5 h8h4 g5f5 h4f4,1381,76,92,516,endgame long mate mateIn3 queenEndgame,https://lichess.org/RM7tPnKq/black#108,,True,https://lichess.org/training/EjcjQ,5,4,Queen_below_King
xr7YO,r1bq3r/pp1p2pp/3k1n2/b1p1PQ2/3P4/B1Pn4/P3KPPP/RN5R b - - 0 13,d3e5 f5e5 d6c6 e5c5,1381,122,85,27,mate mateIn2 middlegame short,https://lichess.org/xBrF193w/black#26,Italian_Game Italian_Game_Evans_Gambit,True,https://lichess.org/training/xr7YO,2,5,Queen_below_King
8Ymy4,1r4k1/p1p3p1/2p2q1p/3p4/5P2/P2R1QP1/2r4P/2KR4 w - - 0 26,c1c2 f6b2,1381,110,86,205,endgame mate mateIn1 oneMove,https://lichess.org/uckSvIsl#51,,True,https://lichess.org/training/8Ymy4,2,1,Queen_left_King
oVhAr,5Q2/pp6/1q6/1bkp4/8/P2p2P1/2P2RP1/3n2K1 b - - 7 34,c5c4 f8b4,1382,75,100,621,endgame master mate mateIn1 oneMove,https://lichess.org/940fzPVy/black#68,,True,https://lichess.org/training/oVhAr,2,3,Queen_left_King
M9qWn,4r3/1p4Q1/3B4/2P5/p3q1k1/P7/1P2p3/K7 b - - 1 39,g4f3 g7g3,1382,180,56,65,endgame master mate mateIn1 oneMove,https://lichess.org/VbObLpYs/black#78,,True,https://lichess.org/training/M9qWn,5,2,Queen_right_King
MrXVs,k3r2Q/p3B3/bp5R/4Q3/P4P2/8/4KR2/1q6 w - - 3 43,e2e3 b1d3,1382,77,93,2083,master mate mateIn1 middlegame oneMove,https://lichess.org/iAGyjUgu#85,,True,https://lichess.org/training/MrXVs,4,2,Queen_left_King
X5FVE,r4r2/pb3pp1/6k1/4Pq2/2p5/P5P1/1PpQ2P1/R1B3KR b - - 1 24,a8d8 h1h6 g7h6 d2h6,1382,75,93,1090,mate mateIn2 middlegame sacrifice short,https://lichess.org/Yuf9dtmo/black#48,,True,https://lichess.org/training/X5FVE,6,5,Queen_right_King
obkwI,r1b2rk1/ppp2p1p/2p2q2/6p1/4nB2/3P1K1P/PPP1B1P1/RN1Q3R w - - 0 11,d3e4 f6f4,1382,100,27,38,mate mateIn1 middlegame oneMove,https://lichess.org/DEDW95Q9#21,Russian_Game Russian_Game_Stafford_Gambit,True,https://lichess.org/training/obkwI,5,2,Queen_above_King
a2deX,4nN1k/6np/3p2pN/3P1pP1/p1P1p2P/P4q2/8/Q1RK4 w - - 6 41,d1c2 f3d3 c2b2 d3b3,1382,76,86,474,mate mateIn2 middlegame short,https://lichess.org/xYZuLAQN#81,,True,https://lichess.org/training/a2deX,1,1,Queen_above_King
tNIAq,r1b2qk1/ppp3p1/3p1nB1/4r3/4P2Q/8/PPP3PP/2KR1R2 b - - 4 21,a7a5 f1f6 f8f6 h4h7 g8f8 h7h8 f8e7 h8e8,1382,79,90,543,kingsideAttack mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/D5mI8Fut/black#42,,True,https://lichess.org/training/tNIAq,4,6,Queen_above_King
BoVTE,5r2/1pp3p1/3rRk1p/p2B2q1/2Pp4/7P/PP2QPP1/6K1 b - - 1 30,d6e6 e2e6,1383,395,67,17,endgame mate mateIn1 oneMove,https://lichess.org/Zc1iiOdR/black#60,,True,https://lichess.org/training/BoVTE,5,5,Queen_left_King
o55LK,r4Rkr/pp6/7p/n2pP1q1/2pP1Q2/b1P5/P1b1B1PP/5RNK b - - 4 24,g8g7 f4f7,1383,113,67,23,mate mateIn1 middlegame oneMove,https://lichess.org/Daac1lTt/black#48,,True,https://lichess.org/training/o55LK,6,6,Queen_left_King
uFx4o,1r1k3r/8/1q1pB1Q1/1bp3B1/pp2P2P/1PbP4/P1P5/1K1R4 b - - 2 28,d8c7 g6f7 b5d7 f7d7,1383,77,93,2010,mate mateIn2 middlegame short,https://lichess.org/Sj5hW1wd/black#56,,True,https://lichess.org/training/uFx4o,2,6,Queen_right_King
VpdhT,5r1k/p7/1p5p/2pP1Pp1/6B1/3Q2bP/PP4Pq/4RK2 w - - 7 29,e1e6 h2h1 f1e2 h1e1 e2f3 e1f2 f3e4 f2f4,1383,76,89,3937,endgame mate mateIn4 veryLong,https://lichess.org/6Iva53qY#57,,True,https://lichess.org/training/VpdhT,4,3,Queen_right_King
qDaju,3r1r2/ppp1R2B/5kQ1/3P1p2/2P1bP2/2b1P3/P5PP/6K1 b - - 6 33,f6e7 g6e6,1384,148,41,23,endgame mate mateIn1 oneMove,https://lichess.org/gzJLfVDz/black#66,,True,https://lichess.org/training/qDaju,4,6,Queen_below_King
8I3eF,r1bq1b1r/ppp1k1pp/8/3np1Q1/1nB5/2N5/PPPP1PPP/R1B1K2R b KQ - 7 10,d5f6 g5e5 c8e6 e5e6,1384,76,95,18727,mate mateIn2 opening short,https://lichess.org/59bA8vH1/black#20,Italian_Game Italian_Game_Two_Knights_Defense,True,https://lichess.org/training/8I3eF,4,6,Queen_below_King
yLNxO,8/pp1b2Q1/2nkPp2/8/3p4/2P2P1N/8/q1KR1B2 w - - 1 25,c1d2 a1c3 d2e2 c3e3,1384,76,93,1606,mate mateIn2 middlegame short,https://lichess.org/AkKqfZSV#49,,True,https://lichess.org/training/yLNxO,4,1,Queen_above_King
lvap0,5r1k/3K2p1/pBQR4/4p2q/2P2p2/8/PP3P1P/8 w - - 11 31,c6d5 h5e8 d7c7 e8c8,1385,79,94,967,endgame mate mateIn2 short,https://lichess.org/d1pJUQQp#61,,True,https://lichess.org/training/lvap0,2,6,Queen_above_King
Xo772,8/1p1Q1pk1/p1p3p1/3p2r1/4P3/1PN2K2/1PP2RP1/4q3 w - - 0 51,f2e2 e1g3,1385,76,90,453,endgame mate mateIn1 oneMove,https://lichess.org/zlKMrU7S#101,,True,https://lichess.org/training/Xo772,5,2,Queen_right_King
1El9O,4r2k/2p1q3/6p1/3Q3p/3R4/2Pb2P1/PP2Br2/5KR1 w - - 0 27,f1f2 e7e2,1386,80,93,128,mate mateIn1 middlegame oneMove,https://lichess.org/9QrPXubM#53,,True,https://lichess.org/training/1El9O,5,1,Queen_left_King
xl6h2,r1bq3r/ppN3pp/3bk3/4p3/2B5/P4Q2/1P1P1PPP/n1BK3R b - - 0 12,e6e7 f3f7,1386,81,85,361,mate mateIn1 middlegame oneMove,https://lichess.org/5LTIvGUr/black#24,Italian_Game Italian_Game_Two_Knights_Defense,True,https://lichess.org/training/xl6h2,4,6,Queen_right_King
dkz9u,2kr3r/ppp2p2/2n4q/3p1p2/3PpNB1/P1N1P1b1/1PPQ1P2/R3R1K1 w - - 0 19,f2g3 h6h1 g1f2 h8h2 f4g2 h1g2,1386,79,85,47,exposedKing kingsideAttack long mate mateIn3 middlegame,https://lichess.org/nmk0x2ao#37,Trompowsky_Attack Trompowsky_Attack_Other_variations,True,https://lichess.org/training/dkz9u,5,1,Queen_right_King
sHbE9,r2b1r2/2p1q1k1/1p1p1B2/2nPp3/p1P5/P1N2P2/1PQN4/1K4R1 b - - 0 36,g7f6 c2g6,1386,94,69,59,mate mateIn1 middlegame oneMove,https://lichess.org/0YioM9ND/black#72,,True,https://lichess.org/training/sHbE9,5,5,Queen_right_King
