PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,PatternMatch,puzzle_ref
bSIIi,r1b1k3/ppp2pp1/2p5/2N5/4P3/5K1r/PPPP1P1q/R1B1QR2 w q - 3 15,f3e2 c8g4,890,95,92,292,mate mateIn1 middlegame oneMove,https://lichess.org/bHBlIT5M#29,Russian_Game Russian_Game_Stafford_Gambit,True,https://lichess.org/training/bSIIi
pLkh4,r6k/pb1R4/1p3rq1/2b1B2R/2B1P1p1/2N5/PP3PP1/2K5 b - - 0 23,g6h5 e5f6,890,80,100,120,hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/k1VeztJb/black#46,,True,https://lichess.org/training/pLkh4
Af6Cl,8/R5k1/4p2p/1B2Ppb1/1PN3p1/7b/2r4P/6K1 b - - 5 40,g7g6 b5e8,891,77,99,767,endgame master mate mateIn1 oneMove,https://lichess.org/HR5P6WXg/black#80,,True,https://lichess.org/training/Af6Cl
KzCTO,3r3k/pR2B3/8/4p3/5bp1/PB6/KP5q/8 b - - 5 40,f4c1 e7f6,893,79,90,89,endgame mate mateIn1 oneMove,https://lichess.org/0ohwkwLm/black#80,,True,https://lichess.org/training/KzCTO
rOXt8,3Q4/pp3p2/3p2pp/2p1b2k/2P2r2/1P3qPP/P4P1K/3R1R2 w - - 0 35,g3g4 f4g4,894,87,94,584,discoveredAttack endgame mate mateIn1 oneMove,https://lichess.org/INYjdeCJ#69,,True,https://lichess.org/training/rOXt8
4erWi,r1Bk4/ppp3p1/6Q1/2b1P1P1/8/2N3nP/PPr5/R1B3K1 w - - 0 22,c1e3 c5e3,894,83,90,459,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/kaVybUd6#43,,True,https://lichess.org/training/4erWi
41GBB,4k1r1/1pp2p2/2p2B2/2bbP1NP/6P1/r5K1/5P2/3RR3 w - - 0 26,g3h4 c5f2,895,80,82,120,mate mateIn1 middlegame oneMove,https://lichess.org/5pBuv2xc#51,,True,https://lichess.org/training/41GBB
qN2Vh,8/6R1/b3p2p/P2pB2k/3Pp3/4P1pK/2r2P2/8 w - - 0 39,f2g3 a6f1,895,83,100,52,endgame mate mateIn1 oneMove,https://lichess.org/c7IJSTZz#77,,True,https://lichess.org/training/qN2Vh
VyUDz,8/5pp1/R4n2/1B3k2/4pP1p/4P2P/2r2PK1/8 b - - 10 40,f6d5 b5d7,896,80,100,95,endgame mate mateIn1 oneMove,https://lichess.org/ZjdbWNI8/black#80,,True,https://lichess.org/training/VyUDz
GeQDl,8/6R1/3rp2p/5pkP/B2n2p1/6P1/5PK1/8 b - - 3 50,g5h5 a4e8,897,103,71,39,endgame master mate mateIn1 oneMove,https://lichess.org/j0iIYcdQ/black#100,,True,https://lichess.org/training/GeQDl
xFZ2v,6b1/PR5k/3p2p1/4p1Bp/6qP/2r5/5Q1K/8 b - - 1 49,h7h8 g5f6,897,82,100,64,endgame master mate mateIn1 oneMove,https://lichess.org/sFLPhlur/black#98,,True,https://lichess.org/training/xFZ2v
0H1xg,rnbqkb2/ppp4R/3p1pQ1/8/3P3n/3BB3/PPP2PP1/R3K3 b Qq - 0 16,h4g6 d3g6,897,94,88,286,master masterVsMaster mate mateIn1 middlegame oneMove,https://lichess.org/wPfJmgjE/black#32,Indian_Defense Indian_Defense_Other_variations,True,https://lichess.org/training/0H1xg
FNM7k,r5k1/6p1/p1p4p/RbR2p2/1P3B1P/4PPP1/1r4K1/8 w - - 9 31,g2h3 b5f1,898,80,100,195,endgame master mate mateIn1 oneMove,https://lichess.org/GfbAaL31#61,,True,https://lichess.org/training/FNM7k
