PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,PatternMatch,Quadrant,rook_king_dir,puzzle_ref
LbB5c,r6r/4bk2/1qp1Qp2/N3p1p1/4P1Pp/3B3P/2PR1P2/6K1 b - - 0 33,f7e6 d3c4,682,79,78,110,master mate mateIn1 middlegame oneMove,https://lichess.org/xnopH3LK/black#66,,True,,,https://lichess.org/training/LbB5c
GtWVp,3r3k/p6p/1p3p2/4r2B/2PB4/P1K5/1P5P/6R1 b - - 6 29,e5h5 d4f6,683,86,81,107,endgame mate mateIn1 oneMove,https://lichess.org/T6BgmZsF/black#58,,True,,,https://lichess.org/training/GtWVp
wSSx3,r3q2k/1p5p/p5R1/3b4/P2Bp3/2P3P1/1P5P/6K1 b - - 1 27,e8e5 d4e5,683,99,93,122,endgame hangingPiece master mate mateIn1 oneMove,https://lichess.org/DFUOzOze/black#54,,True,,,https://lichess.org/training/wSSx3
Nghew,2k1r1nr/ppp2Npp/8/2bP1p2/5p2/1P3P2/P2P1KPP/R4B1R w - - 4 16,d2d4 c5d4,684,80,100,124,mate mateIn1 middlegame oneMove,https://lichess.org/ha3HzruA#31,Bird_Opening Bird_Opening_Froms_Gambit,True,,,https://lichess.org/training/Nghew
1va1i,2k3r1/ppp2p1p/2nbpp2/7b/8/2BP1q1P/PPPQBP2/R4R1K w - - 0 18,e2f3 h5f3,687,82,89,103,kingsideAttack master mate mateIn1 middlegame oneMove,https://lichess.org/Q6fxE3av#35,Scandinavian_Defense Scandinavian_Defense_Main_Line,True,,,https://lichess.org/training/1va1i
WgQtE,4r2k/4P2p/p2p4/4Q1B1/1p6/2p4P/Pn4RK/8 b - - 0 40,d6e5 g5f6,687,107,91,425,endgame mate mateIn1 oneMove,https://lichess.org/XHabkZF4/black#80,,True,,,https://lichess.org/training/WgQtE
062Zq,r4rk1/ppp2Rpp/2n5/4P3/2B5/2P2R1P/P1P3P1/6K1 b - - 0 18,c6e5 f7f8,688,93,96,895,doubleCheck endgame mate mateIn1 oneMove,https://lichess.org/UHludR98/black#36,Vienna_Game Vienna_Game_Vienna_Gambit,True,,,https://lichess.org/training/062Zq
mtZW8,2r1r2k/1p3p1p/8/1q1p2Bb/1P1P4/5nR1/3Q1N2/1R5K b - - 3 40,f3d2 g5f6,688,80,64,84,mate mateIn1 middlegame oneMove,https://lichess.org/8tDQMYKq/black#80,,True,,,https://lichess.org/training/mtZW8
uTrhe,5Qrk/p6p/1p2p3/4P3/3Pb3/4P3/PP5P/R6K w - - 0 31,f8f3 e4f3,689,88,99,1288,endgame hangingPiece master mate mateIn1 oneMove,https://lichess.org/hT1akJDp#61,,True,,,https://lichess.org/training/uTrhe
ziMR4,7k/6p1/7p/PP1b4/6r1/4P3/7P/R4R1K w - - 6 35,e3e4 d5e4 f1f3 e4f3,690,80,93,105,endgame mate mateIn2 short,https://lichess.org/sUOFzTYB#69,,True,,,https://lichess.org/training/ziMR4
uLiX3,r3k1r1/pp3p1p/4pp2/3b4/8/5P2/P1PQ1P1P/R4RK1 w q - 1 18,g1h1 d5f3,694,80,87,464,endgame mate mateIn1 oneMove,https://lichess.org/GKY0Pja9#35,Richter-Veresov_Attack Richter-Veresov_Attack_Other_variations,True,,,https://lichess.org/training/uLiX3
tIfV0,r6r/p2Bkppp/5p2/2p5/8/2P1B3/P4P1P/3RK1Nb b - - 0 17,h8d8 e3c5,697,84,71,72,mate mateIn1 middlegame oneMove,https://lichess.org/5rS0N2YW/black#34,Queens_Gambit_Accepted Queens_Gambit_Accepted_Linares_Variation,True,,,https://lichess.org/training/tIfV0
0QhWr,6rk/pp6/7p/7b/8/P2P1q2/2P2PQP/5R1K w - - 2 42,g2f3 h5f3,697,79,100,631,endgame mate mateIn1 oneMove,https://lichess.org/UYnaXHlB#83,,True,,,https://lichess.org/training/0QhWr
uHSmQ,r4k2/bp4pp/2p2nb1/p3BN2/8/1BP2P1P/PP2R1PK/8 b - - 0 24,g6f5 e5d6,698,82,82,459,mate mateIn1 middlegame oneMove,https://lichess.org/B5P4yw2r/black#48,,True,,,https://lichess.org/training/uHSmQ
rrAZp,r2qn1k1/ppp1p2p/6p1/3P1r2/3b4/2N5/PPPB2PP/R2Q2KR w - - 2 15,d2e3 d4e3,699,88,70,114,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/UMSwt1cR#29,Pirc_Defense Pirc_Defense_Classical_Variation,True,,,https://lichess.org/training/rrAZp
6ujrN,5r1k/pp5p/4p3/2bP3p/P5R1/1P4PK/1BPq3P/8 b - - 3 29,e6e5 b2e5 f8f6 e5f6,699,114,94,458,endgame master mate mateIn2 short,https://lichess.org/K1UEeIvb/black#58,,True,,,https://lichess.org/training/6ujrN
M7yRd,r3rb1k/1p1b1p1p/n7/p2P1pB1/P1B5/1PP3R1/6PP/R6K b - - 5 24,f8d6 g5f6,700,81,100,101,mate mateIn1 middlegame oneMove,https://lichess.org/esWY51sN/black#48,,True,,,https://lichess.org/training/M7yRd
